,Tweets,Case_Folding,Clean_Data,Tweet_Normal,Tanpa_StopWords,Stemming,Sentimen,Label
532,"iseng beli ini di dailybox karna biar bisa pake voucher shopeefood, TERNYATA ENAK BANGET😭😭😭😭😭 https://t.co/Rl0bxcI7y7","iseng beli ini di dailybox karna biar bisa pake voucher shopeefood, ternyata enak banget😭😭😭😭😭 https://t.co/rl0bxci7y7",iseng beli ini di dailybox karna biar bisa pake voucher shopeefood ternyata enak banget,iseng beli ini di dailybox karena biar bisa pakai voucher shopeefood ternyata enak banget,iseng beli dailybox pakai voucher shopeefood enak banget,"['iseng', 'beli', 'dailybox', 'pakai', 'voucher', 'shopeefood', 'enak', 'banget']",1,positif
533,"@tikaayuf aku skrg move ke shopeefood, minimal jajan sih 40k kaak, tapi nanti kena promo jadi 20an 😭🤣 janjiw is the best sihh kalo jajann di shopeefood hahaha","@tikaayuf aku skrg move ke shopeefood, minimal jajan sih 40k kaak, tapi nanti kena promo jadi 20an 😭🤣 janjiw is the best sihh kalo jajann di shopeefood hahaha",aku skrg move ke shopeefood minimal jajan sih k kaak tapi nanti kena promo jadi an janjiw is the best sihh kalo jajann di shopeefood hahaha,saya sekarang move ke shopeefood minimal jajan sih ke kaak tapi nanti kena promo jadi an janjiw is the best sihh kalau jajann di shopeefood hahaha,move shopeefood minimal jajan kaak kena promo janjiw best sihh jajann shopeefood hahaha,"['move', 'shopeefood', 'minimal', 'jajan', 'kaak', 'kena', 'promo', 'janjiw', 'best', 'sihh', 'jajann', 'shopeefood', 'hahaha']",0,negatif
534,"“AkU gA aKan jAJan lAgi” kata seseorang sambil scrolling promo shopeefood, gofood, dan grabfood. https://t.co/unEQw8SoC1","“aku ga akan jajan lagi” kata seseorang sambil scrolling promo shopeefood, gofood, dan grabfood. https://t.co/uneqw8soc1",aku ga akan jajan lagi kata seseorang sambil scrolling promo shopeefood gofood dan grabfood,saya tidak akan jajan lagi kata seseorang sambil scrolling promo shopeefood gofood dan grabfood,jajan scrolling promo shopeefood gofood grabfood,"['jajan', 'scrolling', 'promo', 'shopeefood', 'gofood', 'grabfood']",1,positif
535,@tikaayuf coba buka shopeefood bun promonyaa nampool,@tikaayuf coba buka shopeefood bun promonyaa nampool,coba buka shopeefood bun promonyaa nampool,coba buka shopeefood bun promonyaa nampool,coba buka shopeefood bun promonyaa nampool,"['coba', 'buka', 'shopeefood', 'bun', 'promonyaa', 'nampool']",1,positif
536,"@shopeefood_id Selamat sore kak, saya dari otlet bubur krecek bu marning, jogja.  untuk penarikan pendapatan saya dari tgl 13 sampai hari ini kok sama sekali belum masuk ya kak. sudah saya cek rekening","@shopeefood_id selamat sore kak, saya dari otlet bubur krecek bu marning, jogja.  untuk penarikan pendapatan saya dari tgl 13 sampai hari ini kok sama sekali belum masuk ya kak. sudah saya cek rekening",id selamat sore kak saya dari otlet bubur krecek bu marning jogja untuk penarikan pendapatan saya dari tgl sampai hari ini kok sama sekali belum masuk ya kak sudah saya cek rekening,id selamat sore kak saya dari otlet bubur krecek bu marning jogja untuk penarikan pendapatan saya dari tgl sampai hari ini kok sama sekali belum masuk ya kak sudah saya cek rekening,id selamat sore kak otlet bubur krecek bu marning jogja penarikan pendapatan tgl masuk kak cek rekening,"['id', 'selamat', 'sore', 'kak', 'otlet', 'bubur', 'krecek', 'bu', 'marning', 'jogja', 'tari', 'dapat', 'tgl', 'masuk', 'kak', 'cek', 'rekening']",1,positif
537,"@nameless_cry Makan bodoh. Buka hpmu. Ada wa uj, ada gofood, ada grabfrood, ada shopeefood","@nameless_cry makan bodoh. buka hpmu. ada wa uj, ada gofood, ada grabfrood, ada shopeefood",cry makan bodoh buka hpmu ada wa uj ada gofood ada grabfrood ada shopeefood,cry makan bodoh buka hpmu ada saya uj ada gofood ada grabfrood ada shopeefood,cry makan bodoh buka hpmu uj gofood grabfrood shopeefood,"['cry', 'makan', 'bodoh', 'buka', 'hpmu', 'uj', 'gofood', 'grabfrood', 'shopeefood']",0,negatif
538,Dah binggung sama makanan grab shopeefood dll,dah binggung sama makanan grab shopeefood dll,dah binggung sama makanan grab shopeefood dll,sudah binggung sama makanan grab shopeefood dan lain-lain,binggung makanan grab shopeefood lain-lain,"['binggung', 'makan', 'grab', 'shopeefood', 'lain']",0,negatif
539,pen shopeefood yamie panda tp mbanking eror aaaah benci bgtt 😭,pen shopeefood yamie panda tp mbanking eror aaaah benci bgtt 😭,pen shopeefood yamie panda tp mbanking eror aaaah benci bgtt,pen shopeefood yamie panda tapi mbanking eror aaaah benci bgtt,shopeefood yamie panda mbanking eror aaaah benci bgtt,"['shopeefood', 'yamie', 'panda', 'mbanking', 'eror', 'aaaah', 'benci', 'bgtt']",2,netral
540,Ya Allah browsing gofood sama shopeefood udah 2 jam GAK TAU MAU MAKAN APA.,ya allah browsing gofood sama shopeefood udah 2 jam gak tau mau makan apa.,ya allah browsing gofood sama shopeefood udah jam gak tau mau makan apa,ya allah browsing gofood sama shopeefood sudah jam tidak tahu mau makan apa,allah browsing gofood shopeefood jam makan,"['allah', 'browsing', 'gofood', 'shopeefood', 'jam', 'makan']",1,positif
541,"Hujan deras, aku mesan mcd dari shopeefood udah sejam blm datang karna hujan 😭 padahal pas mesan tadi blm hujan…","hujan deras, aku mesan mcd dari shopeefood udah sejam blm datang karna hujan 😭 padahal pas mesan tadi blm hujan…",hujan deras aku mesan mcd dari shopeefood udah sejam blm datang karna hujan padahal pas mesan tadi blm hujan,hujan deras saya mesan mcd dari shopeefood sudah sejam belum datang karena hujan padahal pas mesan tadi belum hujan,hujan deras mesan mcd shopeefood sejam hujan pas mesan hujan,"['hujan', 'deras', 'mesan', 'mcd', 'shopeefood', 'jam', 'hujan', 'pas', 'mesan', 'hujan']",1,positif
542,"@shflywz Numpang ya kak🙏
Haii.. Kamu yg di bekasi, pesan makanan di @masgitel yuk. Ada aneka ricebowl &amp; snack yummy dgn harga terjangkau dan promo lho.
Cek aplikasi gofood,grabfood, shopeefood &amp; travelokaeats kalian dan pilih menunya ya
👇
https://t.co/daNCL5vB55
🍚🍚🙏 https://t.co/YWE9desC0G","@shflywz numpang ya kak🙏
haii.. kamu yg di bekasi, pesan makanan di @masgitel yuk. ada aneka ricebowl &amp; snack yummy dgn harga terjangkau dan promo lho.
cek aplikasi gofood,grabfood, shopeefood &amp; travelokaeats kalian dan pilih menunya ya
👇
https://t.co/dancl5vb55
🍚🍚🙏 https://t.co/ywe9desc0g",numpang ya kak haii kamu yg di bekasi pesan makanan di yuk ada aneka ricebowl amp snack yummy dgn harga terjangkau dan promo lho cek aplikasi gofoodgrabfood shopeefood amp travelokaeats kalian dan pilih menunya ya,numpang ya kak halo kamu yang di bekasi pesan makanan di yuk ada aneka ricebowl amp snack yummy dengan harga terjangkau dan promo lho cek aplikasi gofoodgrabfood shopeefood amp travelokaeats kalian dan pilih menunya ya,numpang kak halo bekasi pesan makanan yuk aneka ricebowl snack yummy harga terjangkau promo lho cek aplikasi gofoodgrabfood shopeefood travelokaeats pilih menunya,"['numpang', 'kak', 'halo', 'bekas', 'pesan', 'makan', 'yuk', 'aneka', 'ricebowl', 'snack', 'yummy', 'harga', 'jangkau', 'promo', 'lho', 'cek', 'aplikasi', 'gofoodgrabfood', 'shopeefood', 'travelokaeats', 'pilih', 'menu']",1,positif
543,"@RacunBelanja Numpang ya kak🙏
Haii.. Kamu yg di bekasi, pesan makanan di @masgitel yuk. Ada aneka ricebowl &amp; snack yummy dgn harga terjangkau dan promo lho.
Cek aplikasi gofood,grabfood, shopeefood &amp; travelokaeats kalian dan pilih menunya ya
👇
https://t.co/daNCL5vB55
🍚🍚🙏 https://t.co/qbPBZx1jS0","@racunbelanja numpang ya kak🙏
haii.. kamu yg di bekasi, pesan makanan di @masgitel yuk. ada aneka ricebowl &amp; snack yummy dgn harga terjangkau dan promo lho.
cek aplikasi gofood,grabfood, shopeefood &amp; travelokaeats kalian dan pilih menunya ya
👇
https://t.co/dancl5vb55
🍚🍚🙏 https://t.co/qbpbzx1js0",numpang ya kak haii kamu yg di bekasi pesan makanan di yuk ada aneka ricebowl amp snack yummy dgn harga terjangkau dan promo lho cek aplikasi gofoodgrabfood shopeefood amp travelokaeats kalian dan pilih menunya ya,numpang ya kak halo kamu yang di bekasi pesan makanan di yuk ada aneka ricebowl amp snack yummy dengan harga terjangkau dan promo lho cek aplikasi gofoodgrabfood shopeefood amp travelokaeats kalian dan pilih menunya ya,numpang kak halo bekasi pesan makanan yuk aneka ricebowl snack yummy harga terjangkau promo lho cek aplikasi gofoodgrabfood shopeefood travelokaeats pilih menunya,"['numpang', 'kak', 'halo', 'bekas', 'pesan', 'makan', 'yuk', 'aneka', 'ricebowl', 'snack', 'yummy', 'harga', 'jangkau', 'promo', 'lho', 'cek', 'aplikasi', 'gofoodgrabfood', 'shopeefood', 'travelokaeats', 'pilih', 'menu']",1,positif
544,Baru harini tau pasal ShopeeFood. Sis tertinggal bas ek 😂,baru harini tau pasal shopeefood. sis tertinggal bas ek 😂,baru harini tau pasal shopeefood sis tertinggal bas ek,baru hari ini tahu pasal shopeefood sis tertinggal bas ek,pasal shopeefood sis tertinggal bas ek,"['pasal', 'shopeefood', 'sis', 'tinggal', 'bas', 'ek']",0,negatif
545,udah sering bgt kalau mesen shopeefood dipanggilnya pak ini pasti karena gue pake foto emoji seojun 😭 https://t.co/JjNKzvx19y,udah sering bgt kalau mesen shopeefood dipanggilnya pak ini pasti karena gue pake foto emoji seojun 😭 https://t.co/jjnkzvx19y,udah sering bgt kalau mesen shopeefood dipanggilnya pak ini pasti karena gue pake foto emoji seojun,sudah sering begitu kalau  pesan shopeefood dipanggilnya bapak ini pasti karena saya pakai foto emoji seojun,pesan shopeefood dipanggilnya pakai foto emoji seojun,"['pesan', 'shopeefood', 'panggil', 'pakai', 'foto', 'emoji', 'seojun']",1,positif
546,Baru di bos karna lbh sering pake shopeefood kalo order makanan hw https://t.co/UV0Jw65TGf,baru di bos karna lbh sering pake shopeefood kalo order makanan hw https://t.co/uv0jw65tgf,baru di bos karna lbh sering pake shopeefood kalo order makanan hw,baru di bos karena lebih sering pakai shopeefood kalau order makanan hw,bos pakai shopeefood order makanan hw,"['bos', 'pakai', 'shopeefood', 'order', 'makan', 'hw']",1,positif
547,"Tiap jajan di gofood/shopeefood tuh gabole cm 1 wlpn pke duit sendiri.. ntr dinyinyirin org rumah:) jd kudu beliin yg laen jg:') untung ada promoan, kl g menangis dompet gua😭","tiap jajan di gofood/shopeefood tuh gabole cm 1 wlpn pke duit sendiri.. ntr dinyinyirin org rumah:) jd kudu beliin yg laen jg:') untung ada promoan, kl g menangis dompet gua😭",tiap jajan di gofoodshopeefood tuh gabole cm wlpn pke duit sendiri ntr dinyinyirin org rumah jd kudu beliin yg laen jg untung ada promoan kl g menangis dompet gua,setiap jajan di gofoodshopeefood  itu gabole hanya wlpn pakai uang sendiri nanti dinyinyirin orang rumah jadi harus beliin yang lain juga untung ada promoan kalau tidak menangis dompet saya,jajan gofoodshopeefood gabole wlpn pakai uang dinyinyirin orang rumah beliin untung promoan menangis dompet,"['jajan', 'gofoodshopeefood', 'gabole', 'wlpn', 'pakai', 'uang', 'dinyinyirin', 'orang', 'rumah', 'beliin', 'untung', 'promoan', 'menang', 'dompet']",1,positif
548,"shopeefood kalo yg bawa cewe agak cepet, kbnykn ga sebat duls","shopeefood kalo yg bawa cewe agak cepet, kbnykn ga sebat duls",shopeefood kalo yg bawa cewe agak cepet kbnykn ga sebat duls,shopeefood kalau yang bawa cewe agak cepat kebanyakan tidak sebat duls,shopeefood bawa cewe cepat kebanyakan sebat duls,"['shopeefood', 'bawa', 'cewe', 'cepat', 'banyak', 'sebat', 'duls']",1,positif
549,"@yaemanggendut @jogmfs di ig ada, gofood ada, shopeefood juga adaa.. range harga nya ga terlalu mahal jugak. kalo aku beli nya di shopeefood biar dapet diskon jadi per porsi nya cuma kena 17k an","@yaemanggendut @jogmfs di ig ada, gofood ada, shopeefood juga adaa.. range harga nya ga terlalu mahal jugak. kalo aku beli nya di shopeefood biar dapet diskon jadi per porsi nya cuma kena 17k an",di ig ada gofood ada shopeefood juga adaa range harga nya ga terlalu mahal jugak kalo aku beli nya di shopeefood biar dapet diskon jadi per porsi nya cuma kena k an,di ig ada gofood ada shopeefood juga adaa range harga nya tidak terlalu mahal jugak kalau saya beli nya di shopeefood biar dapat potongan harga jadi per porsi nya hanya kena ke an,ig gofood shopeefood adaa range harga mahal jugak beli shopeefood potongan harga porsi kena,"['ig', 'gofood', 'shopeefood', 'adaa', 'range', 'harga', 'mahal', 'jugak', 'beli', 'shopeefood', 'potong', 'harga', 'porsi', 'kena']",1,positif
550,"@ShopeePay_ID @shopeefood_id selamat siang kak. apa bisa bantu untuk orderan ini di cancel, soalnya alamat nya salah. terimakasih https://t.co/X3lOEGyKN4","@shopeepay_id @shopeefood_id selamat siang kak. apa bisa bantu untuk orderan ini di cancel, soalnya alamat nya salah. terimakasih https://t.co/x3loegykn4",id id selamat siang kak apa bisa bantu untuk orderan ini di cancel soalnya alamat nya salah terimakasih,id id selamat siang kak apa bisa bantu untuk orderan ini di cancel soalnya alamat nya salah terima kasih,id id selamat siang kak bantu orderan cancel alamat salah terima kasih,"['id', 'id', 'selamat', 'siang', 'kak', 'bantu', 'order', 'cancel', 'alamat', 'salah', 'terima', 'kasih']",1,positif
551,"@ShopeeID @shopeefood_id selamat siang kak. apa bisa bantu untuk orderan ini di cancel, soalnya alamat nya salah. terimakasih https://t.co/5V1i5nogPN","@shopeeid @shopeefood_id selamat siang kak. apa bisa bantu untuk orderan ini di cancel, soalnya alamat nya salah. terimakasih https://t.co/5v1i5nogpn",id selamat siang kak apa bisa bantu untuk orderan ini di cancel soalnya alamat nya salah terimakasih,id selamat siang kak apa bisa bantu untuk orderan ini di cancel soalnya alamat nya salah terima kasih,id selamat siang kak bantu orderan cancel alamat salah terima kasih,"['id', 'selamat', 'siang', 'kak', 'bantu', 'order', 'cancel', 'alamat', 'salah', 'terima', 'kasih']",1,positif
552,"@shopeefood_id selamat siang kak. apa bisa bantu untuk orderan ini di cancel, soalnya alamat nya salah. terimakasih https://t.co/wyXZFB4bcg","@shopeefood_id selamat siang kak. apa bisa bantu untuk orderan ini di cancel, soalnya alamat nya salah. terimakasih https://t.co/wyxzfb4bcg",id selamat siang kak apa bisa bantu untuk orderan ini di cancel soalnya alamat nya salah terimakasih,id selamat siang kak apa bisa bantu untuk orderan ini di cancel soalnya alamat nya salah terima kasih,id selamat siang kak bantu orderan cancel alamat salah terima kasih,"['id', 'selamat', 'siang', 'kak', 'bantu', 'order', 'cancel', 'alamat', 'salah', 'terima', 'kasih']",1,positif
553,"oke mau pacaran sama gofood, shopeefood, grabfood 🤤","oke mau pacaran sama gofood, shopeefood, grabfood 🤤",oke mau pacaran sama gofood shopeefood grabfood,oke mau pacaran sama gofood shopeefood grabfood,oke pacaran gofood shopeefood grabfood,"['oke', 'pacar', 'gofood', 'shopeefood', 'grabfood']",1,positif
554,@juvcetus disini blm bisa shopeefood,@juvcetus disini blm bisa shopeefood,disini blm bisa shopeefood,disini belum bisa shopeefood,shopeefood,['shopeefood'],2,netral
555,beli nasi gudeg + ayam bakar + telor + krecek masa cuma 20rb di shopeefood murah banget 😭😭😭😭,beli nasi gudeg + ayam bakar + telor + krecek masa cuma 20rb di shopeefood murah banget 😭😭😭😭,beli nasi gudeg ayam bakar telor krecek masa cuma rb di shopeefood murah banget,beli nasi gudeg ayam bakar telor krecek masa hanya rb di shopeefood murah banget,beli nasi gudeg ayam bakar telor krecek rb shopeefood murah banget,"['beli', 'nasi', 'gudeg', 'ayam', 'bakar', 'telor', 'krecek', 'rb', 'shopeefood', 'murah', 'banget']",1,positif
556,@rerenisgood Sama tadi aku beli ini di shopeefood 🤤,@rerenisgood sama tadi aku beli ini di shopeefood 🤤,sama tadi aku beli ini di shopeefood,sama tadi saya beli ini di shopeefood,beli shopeefood,"['beli', 'shopeefood']",1,positif
557,kok gua cek di shopeefood gaada. Ato dom gua emang beda? :'( https://t.co/Cf2PbeQzyr,kok gua cek di shopeefood gaada. ato dom gua emang beda? :'( https://t.co/cf2pbeqzyr,kok gua cek di shopeefood gaada ato dom gua emang beda,kok saya cek di shopeefood tidak ada atau dom saya memang beda,cek shopeefood dom beda,"['cek', 'shopeefood', 'dom', 'beda']",0,negatif
558,Kesel banget dari beberapa jam lalu mau pesen kopi keluarga @FamilyMart_ID lewat shopeefood tapi stoknya habis di seluruh cabang jaksel,kesel banget dari beberapa jam lalu mau pesen kopi keluarga @familymart_id lewat shopeefood tapi stoknya habis di seluruh cabang jaksel,kesel banget dari beberapa jam lalu mau pesen kopi keluarga id lewat shopeefood tapi stoknya habis di seluruh cabang jaksel,kesal banget dari beberapa jam lalu mau pesan kopi keluarga id lewat shopeefood tapi stoknya habis di seluruh cabang jaksel,kesal banget jam pesan kopi keluarga id shopeefood stoknya habis cabang jaksel,"['kesal', 'banget', 'jam', 'pesan', 'kopi', 'keluarga', 'id', 'shopeefood', 'stok', 'habis', 'cabang', 'jaksel']",1,positif
559,"@bbyichell Shopeefood dong ci, laper ajg blm makan dr SD","@bbyichell shopeefood dong ci, laper ajg blm makan dr sd",shopeefood dong ci laper ajg blm makan dr sd,shopeefood dong ci laper ajg belum makan dari sd,shopeefood ci laper ajg makan sd,"['shopeefood', 'ci', 'laper', 'ajg', 'makan', 'sd']",0,negatif
560,"@undipmenfess banyaaakkk, pake shopeefood bair lebih murahh","@undipmenfess banyaaakkk, pake shopeefood bair lebih murahh",banyaaakkk pake shopeefood bair lebih murahh,banyaaakkk pakai shopeefood bair lebih murahh,banyaaakkk pakai shopeefood bair murahh,"['banyaaakkk', 'pakai', 'shopeefood', 'bair', 'murahh']",2,netral
561,Setengah jam lebih scroll shopeefood masih belum tau mau makan apa,setengah jam lebih scroll shopeefood masih belum tau mau makan apa,setengah jam lebih scroll shopeefood masih belum tau mau makan apa,setengah jam lebih scroll shopeefood masih belum tahu mau makan apa,jam scroll shopeefood makan,"['jam', 'scroll', 'shopeefood', 'makan']",1,positif
562,olive knp gaada di shopeefood si elaah,olive knp gaada di shopeefood si elaah,olive knp gaada di shopeefood si elaah,olive kenapa tidak ada di shopeefood si elaah,olive shopeefood elaah,"['olive', 'shopeefood', 'elaah']",2,netral
563,@uniquerls @shopeefood_id Yok lampung segera ada sopipud😭,@uniquerls @shopeefood_id yok lampung segera ada sopipud😭,id yok lampung segera ada sopipud,id yok lampung segera ada sopipud,id yok lampung sopipud,"['id', 'yok', 'lampung', 'sopipud']",2,netral
564,"@bintangemon Numpang ya kak🙏
Haii.. Kamu yg di bekasi, pesan makanan di @masgitel yuk. Ada aneka ricebowl &amp; snack yummy dgn harga terjangkau dan promo lho.
Cek aplikasi gofood,grabfood, shopeefood &amp; travelokaeats kalian dan pilih menunya ya
👇
https://t.co/daNCL5vB55
🍚🍚🙏 https://t.co/fbuY6mmcZv","@bintangemon numpang ya kak🙏
haii.. kamu yg di bekasi, pesan makanan di @masgitel yuk. ada aneka ricebowl &amp; snack yummy dgn harga terjangkau dan promo lho.
cek aplikasi gofood,grabfood, shopeefood &amp; travelokaeats kalian dan pilih menunya ya
👇
https://t.co/dancl5vb55
🍚🍚🙏 https://t.co/fbuy6mmczv",numpang ya kak haii kamu yg di bekasi pesan makanan di yuk ada aneka ricebowl amp snack yummy dgn harga terjangkau dan promo lho cek aplikasi gofoodgrabfood shopeefood amp travelokaeats kalian dan pilih menunya ya,numpang ya kak halo kamu yang di bekasi pesan makanan di yuk ada aneka ricebowl amp snack yummy dengan harga terjangkau dan promo lho cek aplikasi gofoodgrabfood shopeefood amp travelokaeats kalian dan pilih menunya ya,numpang kak halo bekasi pesan makanan yuk aneka ricebowl snack yummy harga terjangkau promo lho cek aplikasi gofoodgrabfood shopeefood travelokaeats pilih menunya,"['numpang', 'kak', 'halo', 'bekas', 'pesan', 'makan', 'yuk', 'aneka', 'ricebowl', 'snack', 'yummy', 'harga', 'jangkau', 'promo', 'lho', 'cek', 'aplikasi', 'gofoodgrabfood', 'shopeefood', 'travelokaeats', 'pilih', 'menu']",1,positif
565,"@hotspothotdeal hi kak, maaf udah buat gak nyaman🙏 Terkait dgn kendala yg kk alami, akan dijadikan sbg masukan untuk menjadikan ShopeeFood lbh baik lg. Shopee selalu mencoba memberikan yg terbaik utk para pengguna ShopeeFood. Kalo msh ada kendala bs infoin ke DM ya. Sehat selalu🙏^DO","@hotspothotdeal hi kak, maaf udah buat gak nyaman🙏 terkait dgn kendala yg kk alami, akan dijadikan sbg masukan untuk menjadikan shopeefood lbh baik lg. shopee selalu mencoba memberikan yg terbaik utk para pengguna shopeefood. kalo msh ada kendala bs infoin ke dm ya. sehat selalu🙏^do",hi kak maaf udah buat gak nyaman terkait dgn kendala yg kk alami akan dijadikan sbg masukan untuk menjadikan shopeefood lbh baik lg shopee selalu mencoba memberikan yg terbaik utk para pengguna shopeefood kalo msh ada kendala bs infoin ke dm ya sehat selaludo,hi kak maaf sudah buat tidak nyaman terkait dengan kendala yang kk alami akan dijadikan sebagai masukan untuk menjadikan shopeefood lebih baik lagi shopee selalu mencoba memberikan yang terbaik untuk para pengguna shopeefood kalau masih ada kendala bisa infoin ke dm ya sehat selaludo,hi kak maaf nyaman terkait kendala kk alami dijadikan masukan menjadikan shopeefood shopee mencoba terbaik pengguna shopeefood kendala infoin dm sehat selaludo,"['hi', 'kak', 'maaf', 'nyaman', 'kait', 'kendala', 'kk', 'alami', 'jadi', 'masuk', 'jadi', 'shopeefood', 'shopee', 'coba', 'baik', 'guna', 'shopeefood', 'kendala', 'infoin', 'dm', 'sehat', 'selaludo']",1,positif
566,"Kedua kali kecewa sama @tokomenantea solo paragon 🤦🏼‍♂️
Dulu pernah komplain perkara saos di Snack, sekarang baru banget kejadian beli pakek shopeefood yg datang ga sesuai wkwkwk
Where's my lemon jelly :'))) 
Ya dikit sih ruginya tapi kan sebel ya wkwkwk https://t.co/rsgH0Thjqw","kedua kali kecewa sama @tokomenantea solo paragon 🤦🏼‍♂️
dulu pernah komplain perkara saos di snack, sekarang baru banget kejadian beli pakek shopeefood yg datang ga sesuai wkwkwk
where's my lemon jelly :'))) 
ya dikit sih ruginya tapi kan sebel ya wkwkwk https://t.co/rsgh0thjqw",kedua kali kecewa sama solo paragon dulu pernah komplain perkara saos di snack sekarang baru banget kejadian beli pakek shopeefood yg datang ga sesuai wkwkwk wheres my lemon jelly ya dikit sih ruginya tapi kan sebel ya wkwkwk,kedua kali kecewa sama solo paragon dulu pernah komplain perkara saos di snack sekarang baru banget kejadian beli pakek shopeefood yang datang tidak sesuai wkwkwk wheres my lemon jelly ya dikit sih ruginya tapi kan sebel ya wkwkwk,kali kecewa solo paragon komplain perkara saos snack banget kejadian beli pakek shopeefood sesuai wkwkwk wheres lemon jelly dikit ruginya sebel wkwkwk,"['kali', 'kecewa', 'solo', 'paragon', 'komplain', 'perkara', 'saos', 'snack', 'banget', 'jadi', 'beli', 'pakek', 'shopeefood', 'sesuai', 'wkwkwk', 'wheres', 'lemon', 'jelly', 'dikit', 'rugi', 'sebel', 'wkwkwk']",0,negatif
567,"Siang-siang gini pasti bawaannya pengen ngemil, ya to? Wajib coba Tahu Tuna Sambat nggone simbah, kriuk-kriuk gurih opo meneh dicocol nggo sambel pokok rasane mantep polll. Wis ayo langsung gassske!

Ada di warung mbah sambat. Bisa dine in/take away/pesen lewat GoFood/ShopeeFood https://t.co/50MJdzSFSe","siang-siang gini pasti bawaannya pengen ngemil, ya to? wajib coba tahu tuna sambat nggone simbah, kriuk-kriuk gurih opo meneh dicocol nggo sambel pokok rasane mantep polll. wis ayo langsung gassske!

ada di warung mbah sambat. bisa dine in/take away/pesen lewat gofood/shopeefood https://t.co/50mjdzsfse",siangsiang gini pasti bawaannya pengen ngemil ya to wajib coba tahu tuna sambat nggone simbah kriukkriuk gurih opo meneh dicocol nggo sambel pokok rasane mantep polll wis ayo langsung gassske ada di warung mbah sambat bisa dine intake awaypesen lewat gofoodshopeefood,siangsiang begini pasti bawaannya ingin ngemil ya to wajib coba tahu tuna sambat nggone simbah kriukkriuk gurih apa meneh dicocol nggo sambel pokok rasane mantep polll wis ayo langsung gassske ada di warung mbah sambat bisa dine intake awaypesen lewat gofoodshopeefood,siangsiang bawaannya ngemil wajib coba tuna sambat nggone simbah kriukkriuk gurih meneh dicocol nggo sambel pokok rasane mantep polll wis ayo langsung gassske warung mbah sambat dine intake awaypesen gofoodshopeefood,"['siangsiang', 'bawa', 'ngemil', 'wajib', 'coba', 'tuna', 'sambat', 'nggone', 'simbah', 'kriukkriuk', 'gurih', 'teh', 'cocol', 'nggo', 'sambel', 'pokok', 'rasane', 'mantep', 'polll', 'wis', 'ayo', 'langsung', 'gassske', 'warung', 'mbah', 'sambat', 'dine', 'intake', 'awaypesen', 'gofoodshopeefood']",1,positif
568,@FFOODFESS Coba shopeefood kalo ada lebih manteb lg,@ffoodfess coba shopeefood kalo ada lebih manteb lg,coba shopeefood kalo ada lebih manteb lg,coba shopeefood kalau ada lebih manteb lagi,coba shopeefood manteb,"['coba', 'shopeefood', 'manteb']",1,positif
569,apa la masalah shopeefood merchants ni. setiap kali order MESTI ada yang tak cukup.,apa la masalah shopeefood merchants ni. setiap kali order mesti ada yang tak cukup.,apa la masalah shopeefood merchants ni setiap kali order mesti ada yang tak cukup,apa la masalah shopeefood merchants ini setiap kali order mesti ada yang tidak cukup,la shopeefood merchants kali order mesti,"['la', 'shopeefood', 'merchants', 'kali', 'order', 'mesti']",0,negatif
570,"Hope! Siang hun berhubung alhamdulillah aku bigwin, yuk drop ss kalian lagi mau makan apa. Bebas mau  gofood/grabfood/shopeefood. Tapi nanti beneran dibeliin makanannya ya, aku pilih random 💕💕 Cantumin harganya juga ya😂😂","hope! siang hun berhubung alhamdulillah aku bigwin, yuk drop ss kalian lagi mau makan apa. bebas mau  gofood/grabfood/shopeefood. tapi nanti beneran dibeliin makanannya ya, aku pilih random 💕💕 cantumin harganya juga ya😂😂",hope siang hun berhubung alhamdulillah aku bigwin yuk drop ss kalian lagi mau makan apa bebas mau gofoodgrabfoodshopeefood tapi nanti beneran dibeliin makanannya ya aku pilih random cantumin harganya juga ya,hope siang hun berhubung alhamdulillah saya bigwin yuk drop ss kalian lagi mau makan apa bebas mau gofoodgrabfoodshopeefood tapi nanti benaran dibeliin makanannya ya saya pilih random cantumin harganya juga ya,hope siang hun berhubung alhamdulillah bigwin yuk drop ss makan bebas gofoodgrabfoodshopeefood benaran dibeliin makanannya pilih random cantumin harganya,"['hope', 'siang', 'hun', 'hubung', 'alhamdulillah', 'bigwin', 'yuk', 'drop', 'ss', 'makan', 'bebas', 'gofoodgrabfoodshopeefood', 'benar', 'dibeliin', 'makan', 'pilih', 'random', 'cantumin', 'harga']",1,positif
571,"Baru bangun, diketok shopeefood. Makasih sayang @aylafyuw ❤️❤️❤️memang paling kuat feelingnya 😂 https://t.co/aCUWscbfuI","baru bangun, diketok shopeefood. makasih sayang @aylafyuw ❤️❤️❤️memang paling kuat feelingnya 😂 https://t.co/acuwscbfui",baru bangun diketok shopeefood makasih sayang memang paling kuat feelingnya,baru bangun diketok shopeefood makasih sayang memang paling kuat feelingnya,bangun diketok shopeefood makasih sayang kuat feelingnya,"['bangun', 'ketok', 'shopeefood', 'makasih', 'sayang', 'kuat', 'feelingnya']",1,positif
572,"@sicutgeulis @shopeefood_id knp di lampung blm ada sopipud, kan pengen😭","@sicutgeulis @shopeefood_id knp di lampung blm ada sopipud, kan pengen😭",id knp di lampung blm ada sopipud kan pengen,id kenapa di lampung belum ada sopipud kan ingin,id lampung sopipud,"['id', 'lampung', 'sopipud']",2,netral
